trinID,neglogpval
TRINITY_DN12663_c0_g1_TRINITY_DN12663_c0_g1_i1_g.1104_m.1104,0.299283613
TRINITY_DN12671_c0_g1_TRINITY_DN12671_c0_g1_i1_g.1106_m.1106,0.710069386
TRINITY_DN12681_c0_g1_TRINITY_DN12681_c0_g1_i1_g.1107_m.1107,0.253976757
TRINITY_DN12687_c0_g1_TRINITY_DN12687_c0_g1_i1_g.1108_m.1108,1.017072339
TRINITY_DN12754_c0_g1_TRINITY_DN12754_c0_g1_i1_g.1109_m.1109,1.21869251
TRINITY_DN12755_c0_g1_TRINITY_DN12755_c0_g1_i1_g.1110_m.1110,0.092271163
TRINITY_DN12769_c0_g1_TRINITY_DN12769_c0_g1_i1_g.1111_m.1111,0.844309587
TRINITY_DN12781_c0_g1_TRINITY_DN12781_c0_g1_i1_g.1112_m.1112,0.069852503
TRINITY_DN12797_c0_g1_TRINITY_DN12797_c0_g1_i1_g.1113_m.1113,0.064893551
TRINITY_DN12826_c0_g1_TRINITY_DN12826_c0_g1_i1_g.1114_m.1114,0.189554632
TRINITY_DN12826_c0_g2_TRINITY_DN12826_c0_g2_i1_g.1115_m.1115,0.348145753
TRINITY_DN12834_c0_g1_TRINITY_DN12834_c0_g1_i1_g.1116_m.1116,0.429256257
TRINITY_DN12853_c0_g1_TRINITY_DN12853_c0_g1_i1_g.1117_m.1117,0.499917702
TRINITY_DN12873_c0_g1_TRINITY_DN12873_c0_g1_i1_g.1118_m.1118,0.084840056
TRINITY_DN12926_c0_g1_TRINITY_DN12926_c0_g1_i1_g.1119_m.1119,0.03115771
TRINITY_DN12927_c1_g1_TRINITY_DN12927_c1_g1_i1_g.1120_m.1120,0.640981213
TRINITY_DN12945_c0_g1_TRINITY_DN12945_c0_g1_i1_g.1121_m.1121,0.986382565
TRINITY_DN12962_c0_g1_TRINITY_DN12962_c0_g1_i1_g.1122_m.1122,0.503307126
TRINITY_DN12965_c0_g1_TRINITY_DN12965_c0_g1_i1_g.1124_m.1124,0.36191473
TRINITY_DN12980_c0_g1_TRINITY_DN12980_c0_g1_i1_g.1125_m.1125,1.753205853
TRINITY_DN12983_c0_g1_TRINITY_DN12983_c0_g1_i1_g.1126_m.1126,0.328381924
TRINITY_DN12991_c0_g1_TRINITY_DN12991_c0_g1_i1_g.1129_m.1129,1.086833632
TRINITY_DN13040_c0_g2_TRINITY_DN13040_c0_g2_i1_g.1130_m.1130,0.141962067
TRINITY_DN13045_c0_g1_TRINITY_DN13045_c0_g1_i1_g.1131_m.1131,0.428112027
TRINITY_DN13073_c0_g1_TRINITY_DN13073_c0_g1_i1_g.1133_m.1133,1.023291209
TRINITY_DN13096_c0_g1_TRINITY_DN13096_c0_g1_i1_g.1137_m.1137,0.543781572
TRINITY_DN13102_c0_g1_TRINITY_DN13102_c0_g1_i1_g.1138_m.1138,1.559940867
TRINITY_DN13103_c0_g1_TRINITY_DN13103_c0_g1_i1_g.1139_m.1139,0.565066793
TRINITY_DN13123_c0_g1_TRINITY_DN13123_c0_g1_i1_g.1140_m.1140,0.677337041
TRINITY_DN13126_c0_g1_TRINITY_DN13126_c0_g1_i1_g.1141_m.1141,0.449205894
TRINITY_DN13132_c0_g1_TRINITY_DN13132_c0_g1_i1_g.1143_m.1143,0.141175756
TRINITY_DN13148_c0_g1_TRINITY_DN13148_c0_g1_i1_g.1146_m.1146,0.463505235
TRINITY_DN1315_c0_g1_TRINITY_DN1315_c0_g1_i1_g.122_m.122,0.058250237
TRINITY_DN13164_c0_g1_TRINITY_DN13164_c0_g1_i1_g.1147_m.1147,0.564839097
TRINITY_DN13167_c0_g1_TRINITY_DN13167_c0_g1_i1_g.1148_m.1148,0.021494084
TRINITY_DN13203_c0_g1_TRINITY_DN13203_c0_g1_i1_g.1149_m.1149,0.110910798
TRINITY_DN13271_c0_g1_TRINITY_DN13271_c0_g1_i1_g.1150_m.1150,0.365508135
TRINITY_DN13272_c0_g1_TRINITY_DN13272_c0_g1_i1_g.1151_m.1151,0.17159665
TRINITY_DN13279_c0_g1_TRINITY_DN13279_c0_g1_i1_g.1152_m.1152,0.85708536
TRINITY_DN13286_c0_g1_TRINITY_DN13286_c0_g1_i1_g.1153_m.1153,0.877321182
TRINITY_DN1329_c0_g1_TRINITY_DN1329_c0_g1_i1_g.123_m.123,0.000783133
TRINITY_DN13303_c0_g1_TRINITY_DN13303_c0_g1_i1_g.1154_m.1154,0.172920275
TRINITY_DN13361_c0_g1_TRINITY_DN13361_c0_g1_i1_g.1156_m.1156,0.320863347
TRINITY_DN13377_c0_g1_TRINITY_DN13377_c0_g1_i1_g.1157_m.1157,0
TRINITY_DN13384_c0_g1_TRINITY_DN13384_c0_g1_i1_g.1160_m.1160,0.016989732
TRINITY_DN13390_c0_g2_TRINITY_DN13390_c0_g2_i1_g.1161_m.1161,0.518473546
TRINITY_DN13401_c0_g1_TRINITY_DN13401_c0_g1_i1_g.1162_m.1162,1.520132319
TRINITY_DN13418_c0_g1_TRINITY_DN13418_c0_g1_i1_g.1163_m.1163,1.072266796
TRINITY_DN13432_c0_g1_TRINITY_DN13432_c0_g1_i1_g.1166_m.1166,0.731592991
TRINITY_DN13447_c0_g1_TRINITY_DN13447_c0_g1_i1_g.1167_m.1167,0.824649447
TRINITY_DN13460_c0_g2_TRINITY_DN13460_c0_g2_i1_g.1168_m.1168,0.414825334
TRINITY_DN13479_c0_g1_TRINITY_DN13479_c0_g1_i1_g.1171_m.1171,1.958469315
TRINITY_DN13484_c0_g1_TRINITY_DN13484_c0_g1_i1_g.1172_m.1172,0.090170078
TRINITY_DN13490_c0_g1_TRINITY_DN13490_c0_g1_i1_g.1173_m.1173,0.46810558
TRINITY_DN13530_c0_g1_TRINITY_DN13530_c0_g1_i1_g.1174_m.1174,0.19671286
TRINITY_DN13554_c0_g1_TRINITY_DN13554_c0_g1_i1_g.1177_m.1177,0.896923679
TRINITY_DN1357_c0_g1_TRINITY_DN1357_c0_g1_i1_g.124_m.124,0.509074466
TRINITY_DN13572_c0_g1_TRINITY_DN13572_c0_g1_i1_g.1178_m.1178,0.004320517
TRINITY_DN13589_c0_g1_TRINITY_DN13589_c0_g1_i1_g.1179_m.1179,0.886256616
TRINITY_DN136_c0_g1_TRINITY_DN136_c0_g1_i1_g.20_m.20,0.020116765
TRINITY_DN1363_c0_g1_TRINITY_DN1363_c0_g1_i1_g.125_m.125,0
TRINITY_DN13645_c0_g1_TRINITY_DN13645_c0_g1_i1_g.1181_m.1181,0.204895716
TRINITY_DN13659_c0_g1_TRINITY_DN13659_c0_g1_i1_g.1182_m.1182,0.397693561
TRINITY_DN13663_c0_g1_TRINITY_DN13663_c0_g1_i1_g.1183_m.1183,0.022292896
TRINITY_DN13669_c0_g1_TRINITY_DN13669_c0_g1_i1_g.1184_m.1184,0.992468736
TRINITY_DN13682_c0_g1_TRINITY_DN13682_c0_g1_i1_g.1186_m.1186,0.068290251
